system,r_A,U,force_column
H2O,4.009185969,-0.0852955164,0.5700263326
H2O,4.029229399,-0.09651409154,0.5496966347
H2O,4.049272829,-0.1073403266,0.5298199567
H2O,4.069316258,-0.1177210291,0.506221105
H2O,4.089359688,-0.1276419635,0.4839427605
H2O,4.109403118,-0.1371295972,0.4629849232
H2O,4.129446548,-0.1462103977,0.4433475931
H2O,4.149489978,-0.154910181,0.4246148431
H2O,4.169533408,-0.1632191845,0.4045963028
H2O,4.189576837,-0.171133633,0.3852448261
H2O,4.209620267,-0.1786668966,0.3665604128
H2O,4.229663697,-0.1858323455,0.348543063
H2O,4.249707127,-0.1926425701,0.3304983048
H2O,4.269750557,-0.1990334289,0.3071769371
H2O,4.289793987,-0.2049552918,0.2837003354
H2O,4.309837416,-0.2104050473,0.2600684997
H2O,4.329880846,-0.2153795841,0.2362814298
H2O,4.349924276,-0.2198757445,0.2122699271
H2O,4.369967706,-0.2238748418,0.1865664568
H2O,4.390011136,-0.2273463165,0.1596219844
H2O,4.410054566,-0.2302652946,0.13143651
H2O,4.430097996,-0.2326069022,0.1020100336
H2O,4.450141425,-0.2343463431,0.07168844497
H2O,4.470184855,-0.235618879,0.05503929552
H2O,4.490228285,-0.2365426694,0.03688946868
H2O,4.510271715,-0.2370876357,0.01723896446
H2O,4.530315145,-0.2372236991,-0.00391221714
H2O,4.550358575,-0.2369207809,-0.02656407613
H2O,4.570402004,-0.2362936016,-0.03597012992
H2O,4.590445434,-0.2354674671,-0.04675022468
H2O,4.610488864,-0.2344080707,-0.0592457734
H2O,4.630532294,-0.2330810289,-0.07345677608
H2O,4.650575724,-0.231451958,-0.08938323273
H2O,4.670619154,-0.2295532538,-0.09979286629
H2O,4.690662584,-0.2274444699,-0.1108143341
H2O,4.710706013,-0.2251036098,-0.1229501906
H2O,4.730749443,-0.2225083374,-0.1362004358
H2O,4.750792873,-0.2196363166,-0.1505650697
H2O,4.770836303,-0.2164887735,-0.1632743395
H2O,4.790879733,-0.2130902118,-0.1758775604
H2O,4.810923163,-0.2094371064,-0.1886735581
H2O,4.830966592,-0.2055255934,-0.2016623327
H2O,4.851010022,-0.2013518088,-0.2148438842
H2O,4.871053452,-0.1969634762,-0.2225288746
H2O,4.891096882,-0.1924084688,-0.2326071975
H2O,4.911140312,-0.1876140377,-0.246419374
H2O,4.931183742,-0.1825053436,-0.2639654043
H2O,4.951227171,-0.1770075472,-0.2852452883
H2O,4.971270601,-0.1711761923,-0.2935916745
H2O,4.991314031,-0.1652439617,-0.2984042518
H2O,5.011357461,-0.1592117681,-0.3035663058
H2O,5.031400891,-0.1530726069,-0.3090778365
H2O,5.051444321,-0.1468194733,-0.314938844
H2O,5.071487751,-0.1404615602,-0.3188331424
H2O,5.09153118,-0.1340494707,-0.3207460597
H2O,5.11157461,-0.1276134941,-0.3212166793
H2O,5.13161804,-0.121182539,-0.320245001
H2O,5.15166147,-0.1147855139,-0.317831025
H2O,5.1717049,-0.1084590763,-0.3130775453
H2O,5.19174833,-0.1022312319,-0.3085064338
H2O,5.211791759,-0.09608605001,-0.3048292059
H2O,5.231835189,-0.09000561413,-0.3020458615
H2O,5.251878619,-0.08397200778,-0.3001564007
H2O,5.271922049,-0.07808334451,-0.2818757163
H2O,5.291965479,-0.07268105276,-0.2577410268
H2O,5.312008909,-0.06772894247,-0.2369551152
H2O,5.332052339,-0.06315989264,-0.2195179813
H2O,5.352095768,-0.05890678228,-0.2054296253
H2O,5.372139198,-0.0549690055,-0.1837317502
H2O,5.392182628,-0.05156583766,-0.1558342324
H2O,5.412226058,-0.04872263793,-0.1278562727
H2O,5.432269488,-0.04644101865,-0.0997978708
H2O,5.452312918,-0.04472259214,-0.07165902689
H2O,5.472356347,-0.04350766974,-0.05396964972
H2O,5.492399777,-0.04254165985,-0.0419684506
H2O,5.512443207,-0.04184346873,-0.02724580422
H2O,5.532486637,-0.0414676435,-0.009801710589
H2O,5.552530067,-0.04146873131,0.01036383029
H2O,5.572573497,-0.0418353875,0.02079127356
H2O,5.592616927,-0.0422665776,0.02265489842
H2O,5.612660356,-0.04276041141,0.0270420707
H2O,5.632703786,-0.04336746948,0.0339527904
H2O,5.652747216,-0.04413833234,0.04338705751
H2O,5.672790646,-0.04509683282,0.04970490337
H2O,5.692834076,-0.04609986471,0.05030543146
H2O,5.712877506,-0.04711039229,0.05045284827
H2O,5.732920935,-0.04811933366,0.05014715379
H2O,5.752964365,-0.04911760691,0.04938834803
H2O,5.773007795,-0.05009822859,0.04866663079
H2O,5.793051225,-0.05107109428,0.04839799003
H2O,5.813094655,-0.05203790507,0.04806245139
H2O,5.833138085,-0.05299732007,0.04766001485
H2O,5.853181514,-0.05394799844,0.04719068042
H2O,5.873224944,-0.05488004671,0.04450511699
H2O,5.893268374,-0.05571565369,0.03899760526
H2O,5.913311804,-0.05644827224,0.03422858925
H2O,5.933355234,-0.05709270434,0.03019806896
H2O,5.953398664,-0.05766375198,0.0269060444
H2O,5.973442094,-0.05817231915,0.02322274125
H2O,5.993485523,-0.05858256025,0.01772764297
H2O,6.013528953,-0.05888357261,0.01232353628
H2O,6.033572383,-0.05907718004,0.007010421186
H2O,6.053615813,-0.05916520631,0.001788297692
H2O,6.073659243,-0.05915230987,-0.002417527373
H2O,6.093702673,-0.05908152209,-0.0047074342
H2O,6.113746102,-0.05896113743,-0.007366467424
H2O,6.133789532,-0.05878375735,-0.01039462705
H2O,6.153832962,-0.05854198329,-0.01379191307
H2O,6.173876392,-0.05823058203,-0.01672254371
H2O,6.193919822,-0.057886864,-0.01764074817
H2O,6.213963252,-0.0575207755,-0.01895474345
H2O,6.234006682,-0.05712438352,-0.02066452954
H2O,6.254050111,-0.05668975506,-0.02277010645
H2O,6.274093541,-0.05620990164,-0.02482983607
H2O,6.294136971,-0.05570468008,-0.02564523423
H2O,6.314180401,-0.05517936393,-0.02683494067
H2O,6.334223831,-0.05462645077,-0.02839895539
H2O,6.354267261,-0.05403843818,-0.03033727837
H2O,6.37431069,-0.05340836956,-0.03232610235
H2O,6.39435412,-0.05275397667,-0.03301062721
H2O,6.41439755,-0.05208350442,-0.03393055477
H2O,6.43444098,-0.05139223452,-0.03508588502
H2O,6.45448441,-0.05067544871,-0.03647661796
H2O,6.47452784,-0.04992864916,-0.03792415496
H2O,6.494571269,-0.04916568513,-0.03820630288
H2O,6.514614699,-0.04839710363,-0.03848468369
H2O,6.534658129,-0.04762298018,-0.03875929739
H2O,6.554701559,-0.04684339028,-0.03903014397
H2O,6.574744989,-0.04605840099,-0.03930789548
H2O,6.594788419,-0.04526673756,-0.03967706466
H2O,6.614831849,-0.04446826677,-0.03998715609
H2O,6.634875278,-0.04366417275,-0.04023816978
H2O,6.654918708,-0.04285563961,-0.04043010572
H2O,6.674962138,-0.04204385856,-0.04054225992
H2O,6.695005568,-0.04123195405,-0.04068163807
H2O,6.715048998,-0.04040466646,-0.04207723526
H2O,6.735092428,-0.03953681685,-0.04472905148
H2O,6.755135857,-0.03860322627,-0.04863708674
H2O,6.775179287,-0.0375787158,-0.05380134102
H2O,6.795222717,-0.03648438966,-0.05525704827
H2O,6.815266147,-0.03536730126,-0.05611839682
H2O,6.835309577,-0.03423844115,-0.05643166789
H2O,6.855353007,-0.03310879469,-0.0561968615
H2O,6.875396437,-0.03198934723,-0.05541397762
H2O,6.895439866,-0.03088027963,-0.05529043719
H2O,6.915483296,-0.02977362401,-0.05511711518
H2O,6.935526726,-0.028671538,-0.05483446575
H2O,6.955570156,-0.02757621291,-0.05444248888
H2O,6.975613586,-0.02648984002,-0.05394118458
H2O,6.995657016,-0.02545309305,-0.04911176647
H2O,7.015700445,-0.02451969974,-0.04407282163
H2O,7.035743875,-0.02368444773,-0.03931890263
H2O,7.055787305,-0.02294162411,-0.03485000946
H2O,7.075830735,-0.02228551599,-0.03066614214
H2O,7.095874165,-0.02168647042,-0.02956435163
H2O,7.115917595,-0.02109778993,-0.02922312506
H2O,7.135961024,-0.02051312375,-0.02916379064
H2O,7.156004454,-0.01992682179,-0.02938634837
H2O,7.176047884,-0.01933323396,-0.02989079824
H2O,7.196091314,-0.01873046693,-0.03017291083
H2O,7.216134744,-0.01812447995,-0.03027902966
H2O,7.236178174,-0.01751729517,-0.03029243162
H2O,7.256221604,-0.01691077095,-0.0302131167
