timestamp_utc,system,iteration,optimization_step,total_iterations,loss,vacf_mse,vacf_rmse,vacf_mae,vacf_max_abs_error,optimizer_name,learning_rate,iteration_wall_seconds,elapsed_wall_seconds,device,natom,filter_length,target_vacf_length,filter_shape,filter_min,filter_max,filter_mean,filter_std,filter_l2_norm,filter_grad_shape,filter_grad_min,filter_grad_max,filter_grad_mean,filter_grad_std,filter_grad_l2_norm,memory_kernel_shape,memory_kernel_min,memory_kernel_max,memory_kernel_mean,memory_kernel_std,memory_kernel_l2_norm
2026-06-13T19:45:06.638786+00:00,H2O,30,30,300,4.021572113037109,0.0040215724147856236,0.06341587007045746,0.04938598722219467,0.14372318983078003,Adam,0.0003,14.897631168365479,479.12647008895874,cuda:0,2141,1000,1000,1000,-0.0016573069151490927,0.010818621143698692,0.0013331095759849631,0.0032159265535742884,0.11008798635440203,1000,-1.613846778869629,1.3813037872314453,-0.0022814709665253756,0.7915141153184265,25.029978023523757,1000,-0.0012910536024719477,0.007183515466749668,0.0005306453966841218,0.0016361259891048826,0.05439202872890915
2026-06-13T19:45:22.524654+00:00,H2O,31,31,300,4.027429580688477,0.004027429968118668,0.063462033867836,0.048164304345846176,0.14690262079238892,Adam,0.0003,15.68079137802124,495.01233434677124,cuda:0,2141,1000,1000,1000,-0.001761539955623448,0.011123068630695343,0.0013589734705752505,0.003282853348905255,0.1123562860019224,1000,-1.718199372291565,1.4791585206985474,-0.047647349329898135,0.8213844495456222,26.018122219974487,1000,-0.0013841562904417515,0.007484923582524061,0.0005525362686038697,0.0016916310872473143,0.056275323752637954
2026-06-13T19:45:37.351176+00:00,H2O,32,32,300,4.250105857849121,0.004250105936080217,0.06519283354282379,0.05257293954491615,0.15498101711273193,Adam,0.0003,14.61948537826538,509.83885860443115,cuda:0,2141,1000,1000,1000,-0.001875323592685163,0.011424888856709003,0.0013801057034930294,0.0033498724957421863,0.1145702295124871,1000,-1.753003716468811,1.530495285987854,0.037036522497422994,0.8699433839010934,27.53494498254876,1000,-0.0014833392342552543,0.007796546909958124,0.0005741931468263602,0.001751089344821495,0.058275309209044356
2026-06-13T19:45:53.294979+00:00,H2O,33,33,300,5.425145626068115,0.005425145849585533,0.07365559041500092,0.05888914689421654,0.16128133237361908,Adam,0.0003,15.735217809677124,525.7826619148254,cuda:0,2141,1000,1000,1000,-0.0019859846215695143,0.011728200130164623,0.001397551470898179,0.003413727747316114,0.1166477057065659,1000,-2.2006781101226807,1.6711912155151367,-0.03531536396872252,1.0262384434504261,32.47171873719956,1000,-0.0015860938001424074,0.008106827735900879,0.0005922225399928606,0.001810308047682868,0.0602324062642441
2026-06-13T19:46:09.097042+00:00,H2O,34,34,300,3.3966064453125,0.0033966065384447575,0.05828041210770607,0.04374856501817703,0.13118885457515717,Adam,0.0003,15.605774641036987,541.5847175121307,cuda:0,2141,1000,1000,1000,-0.002107122214511037,0.012024840340018272,0.0014128448303853246,0.003478142295205433,0.11871648723089584,1000,-1.4248502254486084,1.4493670463562012,0.012308315831935033,0.7310580060946602,23.121360317111943,1000,-0.0016777868149802089,0.008403495885431767,0.0006073348181634514,0.0018630311288215767,0.06196564022352896
2026-06-13T19:46:23.945579+00:00,H2O,35,35,300,4.2952561378479,0.004295256454497576,0.0655382052063942,0.05130345746874809,0.13776040077209473,Adam,0.0003,14.615831136703491,556.4332537651062,cuda:0,2141,1000,1000,1000,-0.0022243333514779806,0.012320821173489094,0.0014239232528298089,0.0035437461739242474,0.12077124813113493,1000,-1.9645724296569824,1.5919595956802368,0.045081182550638914,0.8856647760456414,28.043437887465583,1000,-0.0017764910589903593,0.008704216219484806,0.0006207575132887086,0.001916949356265743,0.06371840177524878
2026-06-13T19:46:39.915643+00:00,H2O,36,36,300,3.0940489768981934,0.003094049170613289,0.05562417954206467,0.04171636328101158,0.11898267269134521,Adam,0.0003,15.62901782989502,572.4033226966858,cuda:0,2141,1000,1000,1000,-0.0023420241195708513,0.012610596604645252,0.0014336365380231656,0.003610729393982445,0.12285227095875714,1000,-1.5353219509124756,1.3089637756347656,-0.0013921939707361162,0.7110686740559294,22.48600892616806,1000,-0.0018704476533457637,0.009008130989968777,0.0006306141191486745,0.0019703107501212124,0.06542016982026927
2026-06-13T19:46:55.130369+00:00,H2O,37,37,300,3.961677312850952,0.00396167766302824,0.06294185668230057,0.04794933646917343,0.13790448009967804,Adam,0.0003,15.015203475952148,587.6180415153503,cuda:0,2141,1000,1000,1000,-0.002462725155055523,0.01289685070514679,0.001438549996368124,0.0036743083737458596,0.12477967830311822,1000,-2.0819363594055176,1.2986387014389038,0.012698079059598967,0.8612884058381709,27.23929072577077,1000,-0.0019657323136925697,0.009321242570877075,0.0006393418155213127,0.0020258683152883364,0.0671781243260281
2026-06-13T19:47:10.582079+00:00,H2O,38,38,300,4.120402812957764,0.004120402969419956,0.06419036537408829,0.04705400392413139,0.14284707605838776,Adam,0.0003,15.205563068389893,603.0697593688965,cuda:0,2141,1000,1000,1000,-0.0025955666787922382,0.013184607028961182,0.0014382451533729182,0.0037392430715456793,0.12669052004512038,1000,-1.586392879486084,1.586105227470398,0.12436940404376946,0.7423591040244447,23.802621452062343,1000,-0.00205683009698987,0.00961601734161377,0.000643847110175173,0.002076046958563739,0.06873507165517957
2026-06-13T19:47:26.423162+00:00,H2O,39,39,300,3.645604372024536,0.0036456044763326645,0.06037884205579758,0.04274986684322357,0.14568492770195007,Adam,0.0003,15.640924453735352,618.9108428955078,cuda:0,2141,1000,1000,1000,-0.0027224260848015547,0.013466786593198776,0.0014401579282307467,0.0038000042615255686,0.12850714861772614,1000,-2.0238633155822754,1.097937822341919,-0.14486341648583767,0.7570127906830157,24.37321839014365,1000,-0.002156575210392475,0.009912784211337566,0.0006437246817236257,0.0021275082109736988,0.07028991857742255
