iteration,loss,learning_rate,vacf_rmse,full_vacf_rmse,regularization,memory_second_diff,filter_first_diff,filter_second_diff,filter_tail,filter_norm
65,0.008060652186526513,0.003,0.08978113491444911,0.0898260591779131,0.0,0.00024752970931539713,9.719171565309829e-07,2.9035468964059695e-07,0.0,0.9951540968173833
66,0.007908445739455237,0.003,0.08892944247804119,0.08897394057563592,0.0,0.00024661383402249583,9.754507803601804e-07,2.9035871109516293e-07,0.0,0.9940401467977251
67,0.007759465396572309,0.003,0.08808782774352146,0.08813190471788017,0.0,0.00024551664466298037,9.7878394339362e-07,2.903628914640053e-07,0.0,0.9928180569715428
68,0.0076149112310172915,0.003,0.08726345873856532,0.08730712321902534,0.0,0.00024431650478741517,9.819603088066135e-07,2.9036732182182794e-07,0.0,0.9915536452597115
69,0.007475449500849898,0.003,0.08646068182040839,0.0865039446111169,0.0,0.0002430790197856911,9.850121073096588e-07,2.9037205599697706e-07,0.0,0.9902988012613224
70,0.0073412214418960625,0.003,0.08568092811061317,0.08572380073181525,0.0,0.00024185526479045009,9.8796057030409e-07,2.9037711095014437e-07,0.0,0.9890909718868361
71,0.007211934526428372,0.003,0.08492310949575724,0.08496560292323288,0.0,0.00024068151612792265,9.90817438109664e-07,2.903824701564732e-07,0.0,0.9879538622237815
72,0.007086993869324575,0.003,0.08418428516845988,0.08422640890648168,0.0,0.000239580226286421,9.935872197388808e-07,2.9038808958823023e-07,0.0,0.9868991336062968
73,0.006965633190629156,0.003,0.08346036898210525,0.08350213049033887,0.0,0.00023856194741730027,9.962698486343273e-07,2.9039390571603176e-07,0.0,0.9859288361728232
74,0.006847016937442755,0.003,0.0827467034838413,0.08278810789147803,0.0,0.0002376278997369403,9.988633852913562e-07,2.9039984474660176e-07,0.0,0.9850382858146964
75,0.00673030339708243,0.003,0.08203842634450292,0.08207947634774451,0.0,0.00023677288656063692,1.001366458907278e-06,2.904058321668835e-07,0.0,0.9842190862144263
76,0.006614675295946265,0.003,0.08133065409761725,0.08137134994909943,0.0,0.00023598827168514033,1.0037802093447256e-06,2.904118016271627e-07,0.0,0.9834620076887363
77,0.00649935270564641,0.003,0.0806185630338721,0.08065890257256554,0.0,0.0002352647579087209,1.006109578350334e-06,2.9041770229439716e-07,0.0,0.9827594670871139
78,0.006383601108978832,0.003,0.07989744119168543,0.07993741989881153,0.0,0.00023459474079936342,1.008363893530836e-06,2.9042350402706904e-07,0.0,0.9821074059006414
79,0.006266739035814864,0.003,0.07916273767256199,0.07920234875218492,0.0,0.0002339740617613509,1.0105567773114076e-06,2.904292000211684e-07,0.0,0.9815064327456676
